2025-11-28 00:21:00 | INFO     | src.api.webhooks:167 | Handling /InspectAI review command for hj2713/2020-Coding-Challenge#1 by comse6998-inspectai[bot]
2025-11-28 00:21:00 | INFO     | src.api.webhooks:173 | Using GitHub App installation token for installation 96944994
2025-11-28 00:21:00 | INFO     | src.github.client:551 | Posting comment on PR #1
2025-11-28 00:21:01 | INFO     | src.api.webhooks:207 | Successfully posted Hello World comment on hj2713/2020-Coding-Challenge#1
2025-11-28 00:21:02 | WARNING  | src.api.webhooks:242 | Webhook signature verification SKIPPED - no secret configured
2025-11-28 00:21:02 | INFO     | src.api.webhooks:255 | Received issue_comment event (delivery: 07dc00c0-cc1a-11f0-9329-20f636fbc15d)
2025-11-28 00:21:02 | INFO     | src.api.webhooks:318 | /InspectAI review command detected on hj2713/2020-Coding-Challenge#1 by comse6998-inspectai[bot]
2025-11-28 00:21:02 | INFO     | src.api.webhooks:167 | Handling /InspectAI review command for hj2713/2020-Coding-Challenge#1 by comse6998-inspectai[bot]
2025-11-28 00:21:02 | INFO     | src.api.webhooks:173 | Using GitHub App installation token for installation 96944994
2025-11-28 00:21:02 | INFO     | src.github.client:551 | Posting comment on PR #1
2025-11-28 00:21:03 | INFO     | src.api.webhooks:207 | Successfully posted Hello World comment on hj2713/2020-Coding-Challenge#1
2025-11-28 00:21:04 | WARNING  | src.api.webhooks:242 | Webhook signature verification SKIPPED - no secret configured
2025-11-28 00:21:04 | INFO     | src.api.webhooks:255 | Received issue_comment event (delivery: 08d70290-cc1a-11f0-80a3-8ba263f344fe)
2025-11-28 00:21:04 | INFO     | src.api.webhooks:318 | /InspectAI review command detected on hj2713/2020-Coding-Challenge#1 by comse6998-inspectai[bot]
2025-11-28 00:21:04 | INFO     | src.api.webhooks:167 | Handling /InspectAI review command for hj2713/2020-Coding-Challenge#1 by comse6998-inspectai[bot]
2025-11-28 00:21:04 | INFO     | src.api.webhooks:173 | Using GitHub App installation token for installation 96944994
2025-11-28 00:21:04 | INFO     | src.github.client:551 | Posting comment on PR #1
2025-11-28 00:21:05 | INFO     | src.api.webhooks:207 | Successfully posted Hello World comment on hj2713/2020-Coding-Challenge#1
2025-11-28 00:21:06 | WARNING  | src.api.webhooks:242 | Webhook signature verification SKIPPED - no secret configured
2025-11-28 00:21:06 | INFO     | src.api.webhooks:255 | Received issue_comment event (delivery: 0a1aa620-cc1a-11f0-9bd2-87c246839c9d)
2025-11-28 00:21:06 | INFO     | src.api.webhooks:318 | /InspectAI review command detected on hj2713/2020-Coding-Challenge#1 by comse6998-inspectai[bot]
2025-11-28 00:21:06 | INFO     | src.api.webhooks:167 | Handling /InspectAI review command for hj2713/2020-Coding-Challenge#1 by comse6998-inspectai[bot]
2025-11-28 00:21:06 | INFO     | src.api.webhooks:173 | Using GitHub App installation token for installation 96944994
2025-11-28 00:21:06 | INFO     | src.github.client:551 | Posting comment on PR #1
